Control ID,Title,Theme,SoA Status,Audit Result,Risk/POA Link,Owner,Target Date,Notes
6.2,Terms and conditions of employment,People,Partial,,,IT Security Lead,TBD next cycle,
6.3,"Information security awareness, education and training",People,Partial,Observation,POA-10,See POA&M,See POA&M,Linked to POA-10
6.4,Disciplinary process,People,No,,,HR,120 days,
6.5,Responsibilities after termination or change of employment,People,Yes,,,,,
6.6,Confidentiality or non-disclosure agreements,People,Partial,,,IT Security Lead,TBD next cycle,
6.7,Remote working,People,Partial,,,IT Security Lead,TBD next cycle,
6.8,Information security event reporting,People,Yes,,,,,
7.1,Physical security perimeters,Physical,Partial,,,IT Security Lead,TBD next cycle,
7.2,Physical entry,Physical,Partial,,,IT Security Lead,TBD next cycle,
7.3,"Securing offices, rooms and facilities",Physical,Partial,,,IT Security Lead,TBD next cycle,
7.4,Physical security monitoring,Physical,No,,,IT Security Lead,TBD next cycle,
7.5,Protecting against physical and environmental threats,Physical,No,,,IT Security Lead,TBD next cycle,
7.6,Working in secure areas,Physical,No,,,IT Security Lead,TBD next cycle,
7.7,Clear desk and clear screen,Physical,No,,,IT Security Lead,TBD next cycle,
7.8,Equipment siting and protection,Physical,Partial,,,IT Security Lead,TBD next cycle,
7.9,Security of assets off-premises,Physical,Yes,,,,,
7.10,Storage media,Physical,No,,,IT Security Lead,TBD next cycle,
7.11,Supporting utilities,Physical,No,,,IT Security Lead,TBD next cycle,
7.12,Cabling security,Physical,No,,,IT Security Lead,TBD next cycle,
7.13,Equipment maintenance,Physical,No,,,IT Security Lead,TBD next cycle,
7.14,Secure disposal or re-use of equipment,Physical,No,,,IT Security Lead,TBD next cycle,
8.1,User end point devices,Technological,Yes,,,,,
8.2,Privileged access rights,Technological,Yes,Fail,POA-03,See POA&M,See POA&M,Linked to POA-03
8.3,Information access restriction,Technological,Yes,,,,,
8.4,Access to source code,Technological,Yes,Fail,POA-02,See POA&M,See POA&M,Linked to POA-02
8.5,Secure authentication,Technological,Yes,Fail,POA-01,See POA&M,See POA&M,Linked to POA-01
8.6,Capacity management,Technological,No,,,IT Security Lead,TBD next cycle,
8.7,Protection against malware,Technological,Yes,Pass,,,,
8.8,Management of technical vulnerabilities,Technological,Yes,Observation,POA-09,See POA&M,See POA&M,Linked to POA-09
8.9,Configuration management,Technological,Partial,,,IT Security Lead,TBD next cycle,
8.10,Information deletion,Technological,No,,,IT Security Lead,TBD next cycle,
8.11,Data masking,Technological,No,,,IT Security Lead,TBD next cycle,
8.12,Data leakage prevention,Technological,No,,,IT Security Lead,TBD next cycle,
8.13,Information backup,Technological,Yes,Fail,POA-04,See POA&M,See POA&M,Linked to POA-04
8.14,Redundancy of information processing facilities,Technological,No,,,IT Security Lead,TBD next cycle,
8.15,Logging,Technological,Yes,Pass,,,,
8.16,Monitoring activities,Technological,Yes,,,,,
8.17,Clock synchronisation,Technological,No,,,IT Security Lead,TBD next cycle,
8.18,Use of privileged utility programs,Technological,No,,,IT Security Lead,TBD next cycle,
8.19,Installation of software on operational systems,Technological,No,,,IT Security Lead,TBD next cycle,
8.20,Networks security,Technological,Yes,Pass,,,,
8.21,Security of network services,Technological,Partial,,,IT Security Lead,TBD next cycle,
8.22,Segregation of networks,Technological,Partial,,,IT Security Lead,TBD next cycle,
8.23,Web filtering,Technological,No,,,IT Security Lead,TBD next cycle,
8.24,Use of cryptography,Technological,Yes,Pass,,,,
8.25,Secure development life cycle,Technological,Partial,,,IT Security Lead,TBD next cycle,
8.26,Application security requirements,Technological,Partial,,,IT Security Lead,TBD next cycle,
8.27,Secure system architecture and engineering principles,Technological,No,,,IT Security Lead,TBD next cycle,
8.28,Secure coding,Technological,Yes,,,,,
8.29,Security testing in development and acceptance,Technological,Yes,,,,,
8.30,Outsourced development,Technological,No,,,IT Security Lead,TBD next cycle,
8.31,"Separation of development, test and production environments",Technological,No,,,IT Security Lead,TBD next cycle,
8.32,Change management,Technological,No,,,IT Security Lead,TBD next cycle,
8.33,Test information,Technological,No,,,IT Security Lead,TBD next cycle,
8.34,Protection of information systems during audit testing,Technological,Partial,,,IT Security Lead,TBD next cycle,
